*Are you self-employed?*,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",*Do you have previous employers?*,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you *currently* have a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work *when being treated effectively?*","If you have a mental health disorder, how often do you feel that it interferes with your work *when* _*NOT*_* being treated effectively (i.e., when you are experiencing symptoms)?*",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up your *mental* health with a potential employer in an interview?,Why or why not?.1,Are you openly identified at work as a person with a mental health issue?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an *unsupportive or badly handled response* to a mental health issue in your current or previous workplace?,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Would you be willing to talk to one of us more extensively about your experiences with mental health issues in the tech industry? (Note that all interview responses would be used _anonymously_ and only with your permission.),What is your age?,What is your gender?,What country do you *live* in?,What US state or territory do you *live* in?,What is your race?,What country do you *work* in?,What US state or territory do you *work* in?
False,26-100,True,True,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,True,Maybe,False,False,4.0,6.0,True,False,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,I don't know,False,"No, at none of my previous employers",False,False,7.0,5.0,Yes,Possibly,True,No,Sometimes,Often,No,7,Yes,"I have a strong moral compass, and feel it would be dishonest to a new employer to keep anything back that may affect my performance. ",Yes,Being honest about anything that impacts my ability to work efficiently. ,True,5,"Yes, I experienced",No,3,"
",False,32,Male,Norway,California,White,Norway,California
False,500-1000,True,True,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Same level of comfort for each,Yes,True,Yes,False,True,10.0,5.0,True,False,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,I don't know,False,"No, at none of my previous employers",False,False,10.0,0.0,Possibly,Don't Know,True,I don't know,Sometimes,Often,No,8,Yes,"If they can’t handle me at my worst, they don’t deserve me at my best.",Yes,"If they can’t handle me at my worst, they don’t deserve me at my best.",False,5,"Yes, I experienced",Maybe/Not sure,3,"Be more supportive, believe employees, and offer help before demanding proof.",False,33,Male,United States of America,California,White,United States of America,California
False,500-1000,True,True,Yes,Yes,No,No,I don't know,I don't know,Physical health,Maybe,True,No,False,False,7.0,5.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,6.0,3.0,Yes,Yes,True,Yes,Sometimes,Sometimes,No,2,Maybe,"Depends on the issue, i.e., only if due to it I'd have special needs at work.",No,"I'm still at a point where I'm uncomfortable discussing my mental health issues with others, much less in an interview environment.",False,8,No,Maybe/Not sure,4,"I don't feel there is a difference between the tech industry and society in general, at least where I live and work. Awareness, provide resources on mental health disorders, warning signs, how to seek help. Discuss openly.",False,30,Female,Portugal,California,White,Portugal,California
False,500-1000,True,True,Yes,No,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,False,False,9.0,9.0,True,True,"Yes, they all did",N/A (was not aware),None did,None did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,False,At some of my previous employers,False,True,9.0,9.0,Possibly,No,False,Yes,Never,Not applicable to me,No,5,No,"
",No,"
",False,1,"Yes, I experienced","Yes, I experienced",4,"
",True,30,Male,Portugal,California,White,Portugal,California
False,100-500,True,True,Yes,Yes,Yes,No,I don't know,I don't know,Physical health,Maybe,False,Maybe,False,False,7.0,7.0,True,True,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Physical health,I don't know,False,"No, at none of my previous employers",False,False,7.0,7.0,No,No,False,I don't know,Not applicable to me,Not applicable to me,No,8,Yes,To settle any expectations from both sides,Yes,To settle any expectations from both sides,False,3,No,No,3,"
",False,34,Male,Portugal,California,White,Portugal,California
False,100-500,True,True,No,No,No,No,I don't know,Very easy,Physical health,Yes,False,Maybe,True,False,8.0,7.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,True,True,8.0,7.0,Possibly,Possibly,True,Yes,Not applicable to me,Not applicable to me,No,8,Yes,"If it would interfere with my work or availability to work, then it’s important to know if the employer would accept that.",Maybe,Depends on the impact it woould have in my ability to work.also there is some stigma.,False,5,No,Maybe/Not sure,3,"There is so much prejudice and biases in the tech industry, i doubt much can be done, probably initiatives to raise awareness. ",False,36,Female,Portugal,California,White,Portugal,California
False,100-500,True,True,No,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,False,Maybe,False,False,8.0,5.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,Yes,Yes,True,Yes,Rarely,Sometimes,Yes,8,No,"Bringing up such a topic would weaken my bargaining position, so I wouldn't do so.",No,"Bringing up such a topic would weaken my bargaining position, so I wouldn't do so. Mental health has an additional stigma associated with it, so it would likely mean I wouldn't get hired at all.",False,4,Maybe/Not sure,No,2,"
",False,30,Male,Portugal,California,White,Portugal,California
False,1-5,True,True,No,No,Yes,No,No,I don't know,Physical health,No,False,Maybe,False,True,9.0,8.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,2.0,0.0,No,No,False,No,Not applicable to me,Not applicable to me,No,7,Yes,"In the end it would play a part on how I'm treated, so I'd be willing to disclose it from the get go.",Yes,"Just as before, it would be a part of me, which affects how I work, so I'd rather disclose from the get go, instead of feeling anxiety of disclosing it when the issue is most pressing.",False,9,No,Maybe/Not sure,2,"There could be far more awareness of what mental health disorders could impact colleagues, as well as better policing of discriminatory behaviour (including language). Training would be a plus as well.",False,29,Male,Portugal,California,White,Portugal,California
False,500-1000,True,True,No,No,No,No,No,Somewhat easy,Physical health,Yes,False,No,False,False,6.0,3.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,No,Possibly,True,Yes,Not applicable to me,Not applicable to me,No,6,No,"
",No,"
",False,3,No,No,3,"
",False,34,M,Portugal,California,White,Portugal,California
False,100-500,True,True,No,Yes,No,No,No,Very easy,Same level of comfort for each,Yes,True,Yes,True,True,3.0,3.0,True,True,Some did,I was aware of some,Some did,Some did,Sometimes,Same level of comfort for each,"Yes, all of my previous supervisors",True,At some of my previous employers,True,True,5.0,5.0,Possibly,No,True,No,Not applicable to me,Sometimes,Maybe,5,Maybe,"
",No,"
",False,5,Maybe/Not sure,"Yes, I experienced",3,"
",False,40,M,Portugal,California,White,Portugal,California
False,500-1000,True,True,Not eligible for coverage / NA,No,No,No,I don't know,I don't know,Physical health,No,False,No,False,False,8.0,5.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,6.0,5.0,Possibly,No,False,I don't know,Rarely,Sometimes,Maybe,5,No,"
",No,"
",False,5,Maybe/Not sure,Maybe/Not sure,3,"
",False,31,Non binary,Portugal,California,White,Portugal,California
False,100-500,True,True,I don't know,No,No,I don't know,Yes,I don't know,Physical health,Maybe,False,Maybe,False,False,9.0,8.0,True,True,I don't know,N/A (was not aware),None did,None did,"Yes, always",Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,8.0,7.0,No,No,False,Yes,Not applicable to me,Not applicable to me,No,7,Maybe,"
",No,"
",False,8,No,No,4,"
",False,27,Masculine,Portugal,California,White,Portugal,California
False,More than 1000,False,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,False,Yes,False,False,6.0,7.0,True,False,I don't know,N/A (was not aware),I don't know,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,3.0,2.0,Possibly,No,False,Yes,Not applicable to me,Not applicable to me,No,9,No,"Interview is for the job, about whether I can do the job... personal aspects can come up for discussion later, if hired.",No,Same as previous...,False,8,No,Maybe/Not sure,4,"Be very explicit about provided mental health benefits, and do so frequently.",False,47,M,United States of America,Alabama,White,United States of America,Alabama
False,100-500,False,True,Yes,Yes,No,Yes,Yes,Difficult,Physical health,Maybe,False,Maybe,False,False,6.0,4.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,Yes,Possibly,True,Yes,Rarely,Often,No,8,No,"
",No,"
",False,4,No,No,3,"
",False,24,Female,United States of America,Colorado,White,United States of America,Colorado
False,100-500,True,True,Yes,Yes,No,No,Yes,Somewhat easy,Physical health,Yes,False,Maybe,False,False,7.0,3.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,True,7.0,2.0,No,No,True,No,Not applicable to me,Not applicable to me,No,5,Maybe,Wouldn't want to jeopardize my application ,No,Wouldn't want to jeopardize my application ,False,6,No,No,1,"
",False,36,Male,Portugal,California,White,Portugal,California
False,100-500,True,True,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Physical health,Maybe,False,Yes,False,False,8.0,5.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,6.0,5.0,No,No,False,I don't know,Not applicable to me,Not applicable to me,No,8,Yes,To alert if some preparations were needed,Maybe,If could affect others,False,6,No,Maybe/Not sure,2,Talk and encourage to talk about it. Add or expose mental healthcare.,False,28,male,Portugal,California,White,Portugal,California
False,500-1000,True,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Physical health,Maybe,True,Maybe,True,False,5.0,7.0,True,True,Some did,N/A (was not aware),None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.0,5.0,No,No,False,No,Not applicable to me,Not applicable to me,No,7,Maybe,"If I felt the issue would impact on my work I would be happy to share that information, otherwise i wouldn't feel any obligation to share",Maybe,If the issue would have a significant impact on the way I were perceived or judged in the interview or the role then i would be happy to share. ,False,6,Maybe/Not sure,"Yes, I observed",2,Be considerably more careful about balancing good intentions with the accuracy and validity of the narrative and actions that are taken.,True,34,Male,United Kingdom,California,White,United Kingdom,California
False,100-500,True,True,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Yes,False,Yes,True,True,5.0,5.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,"Yes, at all of my previous employers",False,True,5.0,5.0,No,No,False,No,Not applicable to me,Not applicable to me,No,8,Maybe,"
",No,fewer chances of getting the job,False,10,No,"Yes, I observed",2,make it less taboo,False,28,Male,Portugal,California,White,Portugal,California
False,500-1000,True,True,Yes,Yes,No,No,I don't know,I don't know,Physical health,No,False,No,False,False,7.0,4.0,True,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,6.0,4.0,No,Possibly,True,Yes,Not applicable to me,Not applicable to me,Maybe,9,Yes,It would be acceptable,No,I believe I would not be selected,False,3,"Yes, I observed",No,2,Taboo matter,False,36,M,Portugal,California,White,Portugal,California
False,100-500,True,True,Yes,Yes,I don't know,No,Yes,Somewhat easy,Physical health,Yes,False,Maybe,False,False,10.0,8.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,Don't Know,No,False,I don't know,Not applicable to me,Not applicable to me,No,7,Maybe,Depends on relevance and impact on the future work.,Maybe,Depends on relevance and impact on the future work.,False,10,No,No,4,Raise awareness about mental issue and treat mental issue as a physical issue. ,True,24,male,Portugal,California,White,Portugal,California
False,6-25,True,True,Yes,Yes,No,No,Yes,I don't know,Physical health,Maybe,False,Maybe,False,False,5.0,5.0,True,True,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,"Yes, at all of my previous employers",True,True,5.0,5.0,Possibly,Possibly,True,Yes,Rarely,Sometimes,No,10,Maybe,Depends if it will impact my ability to perform the functions of the job,No,Discrimination,False,5,No,"Yes, I experienced",4,Be more direct and open about supporting employees,True,32,Cishet male,United States of America,Colorado,White,United States of America,Colorado
False,26-100,False,True,No,No,Yes,No,Yes,Very easy,Physical health,Maybe,False,Yes,True,True,5.0,3.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,0.0,0.0,Yes,Yes,True,I don't know,Sometimes,Often,No,6,Maybe,"
",Maybe,"
",False,6,Maybe/Not sure,"Yes, I observed",2,"
",False,33,Male,United Kingdom,California,White,United Kingdom,California
False,100-500,True,True,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Physical health,Maybe,False,Maybe,False,False,6.0,5.0,True,True,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,"No, at none of my previous employers",False,False,7.0,7.0,No,No,True,I don't know,Not applicable to me,Not applicable to me,No,7,Yes,"Physical disabilities are typically well-understood as being both a protected class of disability, as well as one for which the affected person is absolved of any personal blame. Put another way, no one blames a person for their physical disabilities (anymore); the same, unfortunately, is not true of mental disabilities.",Maybe,"See previous answer: depending on the type of mental illness (depression, for example), I would be worried about judgment or discrimination from my employer.",False,4,No,"Yes, I observed",3,"Better training for management and co-workers. Vocal and explicit support for mental health issues, including examples of what positive support looks like; explicit and persistent advertising of mental-health support resources; industry-awards for companies that handle the issue well, or at least more obviously including issues of mental-health support as one of the ""rating"" criteria for ""best places to work"". ",False,39,Male,United States of America,California,More than one of the above,United States of America,California
False,More than 1000,False,True,Yes,Yes,No,Yes,I don't know,I don't know,Physical health,No,False,No,False,True,7.0,5.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,Yes,Yes,True,I don't know,Rarely,Often,Yes,5,Maybe,They could use it against me,Maybe,They can use that to decide not to hire me,False,1,"Yes, I experienced",No,3,I think they struggle first and foremost with diversity. They think of themselves as a monolith but there are so many different people wanting to get into the industry.,False,26,female,United States of America,Colorado,More than one of the above,United States of America,Colorado
False,100-500,True,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Physical health,Maybe,False,Yes,True,True,7.0,7.0,True,False,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,True,False,5.0,2.0,Yes,Yes,True,Yes,Sometimes,Often,No,8,Maybe,"
",No,People with ADHD are not seen as productive or profitable employees. ,True,8,Maybe/Not sure,"Yes, I observed",3,"
",True,32,Female,United States of America,Michigan,White,United States of America,Michigan
False,26-100,True,True,Yes,No,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,False,Yes,True,True,7.0,7.0,True,True,"No, none did",N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,True,True,5.0,5.0,No,Yes,True,I don't know,Rarely,Rarely,No,8,Maybe,"
",Maybe,"
",False,5,No,No,3,Mental health first aid to be given equal standing to physical first aid.,False,42,Male,United Kingdom,California,White,United Kingdom,California
False,More than 1000,True,True,Yes,Yes,No,Yes,I don't know,I don't know,Physical health,No,False,Maybe,False,True,10.0,8.0,True,False,Some did,I was aware of some,None did,Some did,Sometimes,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,True,True,6.0,0.0,Yes,Yes,False,I don't know,Never,Sometimes,Yes,1,No,"
",No,"
",False,0,"Yes, I observed","Yes, I observed",2,"
",False,41,M,United States of America,Indiana,White,United States of America,Indiana
False,100-500,True,True,Yes,Yes,Yes,No,I don't know,Somewhat difficult,Same level of comfort for each,No,False,Maybe,True,True,8.0,4.0,True,True,Some did,I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,0.0,0.0,Possibly,Yes,True,Yes,Sometimes,Sometimes,Yes,10,No,"I worry it would have a negative impact on my job prospects.

General personality questions are asked, but I get the sense that talking in depth about mental health would be considered oversharing.",Maybe,Job prospects,False,6,"Yes, I experienced","Yes, I observed",2,"Talk about it more (this HAS gotten better), deal with people feeling stigmatized for talking about how they actually feel.

Stop focusing on utilization/productivity as the only metric of success. The goal shouldn't be to find out how much work you can dump on someone before they break.",True,32,Male,Canada,California,White,Canada,California
False,More than 1000,False,True,No,Yes,No,Yes,I don't know,I don't know,Physical health,No,False,No,False,False,3.0,3.0,False,True,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,5.587837837837838,3.527027027027027,Don't Know,Don't Know,True,Yes,Sometimes,Sometimes,No,0,No,Liability ,No,Hurt interview,False,2,No,No,1,Help me,False,32,F,United States of America,North Carolina,White,United States of America,North Carolina
False,100-500,True,True,Yes,No,I don't know,Yes,I don't know,Very easy,Same level of comfort for each,Yes,False,Yes,False,False,7.0,8.0,True,True,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did","Yes, always",Same level of comfort for each,"Yes, all of my previous supervisors",True,"Yes, at all of my previous employers",True,True,8.0,8.0,No,Yes,True,Yes,Sometimes,Often,No,4,No,I would try to avoid it unless absolutely necessary.,No,I would try to avoid it unless absolutely necessary.,False,7,No,Maybe/Not sure,3,"Better support for flexible working arrangements (e.g., remote work, alternative working hours).",False,31,Female,United States of America,California,White,United States of America,California
False,100-500,True,True,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,False,Yes,True,True,8.0,7.0,True,False,Some did,"Yes, I was aware of all of them",None did,None did,"Yes, always",Physical health,Some of my previous supervisors,True,At some of my previous employers,False,False,7.0,3.0,Yes,Yes,True,Yes,Rarely,Often,No,9,No,I would worry it would prejudice them against me.,No,I would worry it would prejudice them against me.,True,8,"Yes, I experienced","Yes, I observed",3,Take it as seriously as physical health support.,True,34,Non-binary,Switzerland,California,White,Switzerland,California
False,More than 1000,True,True,Yes,No,Yes,Yes,I don't know,Difficult,Physical health,No,False,No,False,True,4.0,1.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,0.0,0.0,Possibly,Possibly,False,Yes,Not applicable to me,Sometimes,Yes,1,Maybe,"
",No,"
",False,4,"Yes, I observed",No,2,"
",False,36,Male,United Kingdom,California,White,United Kingdom,California
False,100-500,True,True,I don't know,No,Yes,I don't know,Yes,Very easy,Physical health,Yes,False,No,False,False,10.0,10.0,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,2.0,0.0,No,No,False,No,Not applicable to me,Not applicable to me,No,3,Yes,"
",No,"
",False,7,"Yes, I observed","Yes, I experienced",3,More remote work. More part-time work,False,33,male,Switzerland,California,White,Switzerland,California
False,26-100,True,True,I don't know,No,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,False,Maybe,False,False,5.0,5.0,True,False,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,True,True,5.0,5.0,Yes,Yes,True,Yes,Never,Rarely,No,10,No,loss of potential job,No,loss of potential job,False,7,No,"Yes, I experienced",3,"
",False,30,male,United States of America,Tennessee,White,United States of America,Tennessee
False,26-100,True,True,I don't know,Yes,No,No,I don't know,Difficult,Physical health,Maybe,True,Yes,True,True,3.0,0.0,True,True,I don't know,N/A (was not aware),I don't know,None did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,True,True,5.0,3.0,Yes,Yes,True,Yes,Sometimes,Often,Yes,8,Maybe,"I wouldn't want to do so until I was offered the job. Unfortunately, I can't hide my hearing issue anymore. ",No,I wouldn't bring it up until I was offered the job and more likely not until after i was hired.,True,3,"Yes, I experienced","Yes, I experienced",1,Get rid of open offices. Agile and more so scrum isn't conducive to any mental health issues and some other forms of disability. ,False,45,Female,United States of America,Vermont,White,United States of America,Vermont
False,More than 1000,True,True,Yes,No,Yes,Yes,I don't know,Very easy,Same level of comfort for each,Yes,False,Yes,True,True,7.0,7.0,True,True,I don't know,N/A (was not aware),None did,Some did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",False,"Yes, at all of my previous employers",True,True,9.0,5.0,No,No,False,No,Not applicable to me,Not applicable to me,No,10,Yes,"To an extent, I'll talk about exercise and fitness and wellbeing, but if you are going to ask me questions about my diagnosis of anything or things of that nature, that is off limits. That's not something you need to know in an interview.",Yes,"Similar vein, I will talk about some good aspects of how I think and how I work in my thinking. But I am not going to inform you if I have a mental health disorder in an interview, it's not needed.",False,10,No,"Yes, I observed",4,"Preventative care measures, similar to a yearly physical, but a yearly mental checkup. Hour-long session to talk with someone and see if they can spot anything that could be an issue to them.",True,30,Male,United States of America,Minnesota,White,United States of America,Minnesota
True,More than 1000,True,True,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,False,Maybe,False,False,6.328947368421052,4.878289473684211,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,3.0,0.0,Possibly,Yes,True,Yes,Sometimes,Sometimes,No,2,Maybe,To avoid future difficulties,No,Fear of discrimination,False,3,No,No,3,"
",False,48,Male,United Kingdom,California,White,United Kingdom,California
False,100-500,True,True,Yes,No,No,No,I don't know,Somewhat difficult,Physical health,No,False,Maybe,False,False,5.0,5.0,True,True,Some did,"No, I only became aware later",None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,True,5.0,5.0,Possibly,Don't Know,False,I don't know,Often,Often,Yes,6,Maybe,"
",No,Stigma,False,4,"Yes, I observed",Maybe/Not sure,3,"Identify common mental health issues related to work, known causes and how to avoid them",False,29,Male,Portugal,California,White,Portugal,California
True,More than 1000,True,True,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,False,Maybe,False,False,6.328947368421052,4.878289473684211,True,True,"No, none did",N/A (none offered),None did,None did,Sometimes,Physical health,"No, none of my previous supervisors",True,At some of my previous employers,True,True,6.0,2.0,Yes,Yes,True,I don't know,Rarely,Often,Yes,8,Maybe,"
",Yes,I wouldn't want to work somewhere in which bringing it up/speaking about it would be an issue.,True,3,"Yes, I experienced",No,2,"
",False,35,Female-identified,Canada,California,White,Canada,California
False,100-500,True,True,I don't know,No,No,I don't know,I don't know,I don't know,Physical health,No,False,Maybe,True,False,5.0,2.0,True,False,I don't know,N/A (was not aware),I don't know,Some did,I don't know,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,False,False,7.0,2.0,Yes,Yes,True,I don't know,Sometimes,Often,Yes,5,Maybe,Depends on the Condition and the employer,No,To much of a Stigma,False,4,"Yes, I observed",Maybe/Not sure,1,"
",False,41,Male,United States of America,Indiana,White,United States of America,Indiana
False,26-100,False,True,Yes,Yes,No,No,Yes,Neither easy nor difficult,Same level of comfort for each,Maybe,False,Yes,True,True,1.0,5.0,True,False,Some did,I was aware of some,Some did,Some did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,True,"Yes, at all of my previous employers",True,True,1.0,4.0,Possibly,No,False,Yes,Not applicable to me,Not applicable to me,No,10,Maybe,"I would bring up things that directly impact my work and work environment (things like stairs vs elevator, lighting, etc) but I view all other physical health issues as my personal business and unrelated to my work.",No,"I manage my anxiety with medication and it very rarely impacts my work. I prefer to discuss it if it comes up as necessary, rather than warn potential employers about something they may never see.",False,7,No,"Yes, I experienced",3,"A lot of the emphasis on being a ""coding ninja"" or ""unicorn"" places pressure on people to always be productive, always be having good days. On top of impostor syndrome it also means there's a lot of pressure that contributes to anxiety and similar issues.",False,27,F,United States of America,Indiana,White,United States of America,Indiana
False,6-25,True,True,Yes,Yes,No,Yes,Yes,Very easy,Same level of comfort for each,Yes,True,Yes,True,True,8.0,8.0,True,True,"Yes, they all did",I was aware of some,Some did,Some did,Sometimes,Physical health,Some of my previous supervisors,True,At some of my previous employers,True,True,5.0,5.0,Possibly,Yes,True,I don't know,Sometimes,Often,No,9,Yes,"
",Maybe,"
",False,6,No,No,2,"More awareness, more training. Mental Health First Aid for all managers.",False,42,Male,United States of America,Nebraska,White,United States of America,Nebraska
False,100-500,True,True,I don't know,No,No,No,I don't know,I don't know,Physical health,Yes,False,Yes,True,True,5.0,3.0,True,False,I don't know,N/A (was not aware),Some did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,7.0,3.0,Possibly,Possibly,True,Yes,Not applicable to me,Sometimes,No,8,Maybe,"
",Maybe,"
",False,8,No,Maybe/Not sure,2,I think as a whole America does a poor job of being supportive of mental health issues,True,32,male,United States of America,Kansas,White,United States of America,Kansas
False,100-500,True,True,I don't know,No,I don't know,I don't know,I don't know,Very easy,Physical health,Yes,False,Maybe,False,False,6.0,5.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,3.0,3.0,No,No,False,No,Not applicable to me,Not applicable to me,No,7,Maybe,Only if I thought it would pertain to getting my work done.,No,I would be worried about losing the job.,False,8,No,No,4,More training for managers on how to identify and help.,False,32,Male,United States of America,Nebraska,White,United States of America,Nebraska
False,1-5,True,True,Yes,Yes,No,No,Yes,Very easy,Same level of comfort for each,No,False,No,True,False,5.0,8.0,True,False,I don't know,N/A (was not aware),Some did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,5.0,4.0,Yes,Yes,True,Yes,Rarely,Sometimes,No,8,Yes,It could impact how well I can access the office or do my work,Maybe,"If they asked I’d probably tell them, but if I don’t like to bring up my mental health unless it’s clearly causing a problem",False,5,No,No,2,"Ease back in the crunch time for developers, structure the work so employees have time to breathe and communicate calmly",False,20,Woman,United States of America,Nebraska,White,United States of America,Nebraska
